District,N,P,K,pH,Organic_Carbon,Soil_Moisture,Soil_Type
Ahmedabad,72,42,48,6.8,0.78,28,Sandy Loam
Amreli,58,30,40,7.2,0.62,22,Black Cotton
Anand,85,48,55,7.0,0.90,40,Alluvial
Arvalli,60,32,38,6.9,0.65,25,Mixed Red
Banaskantha,50,28,35,7.5,0.55,18,Sandy
Bharuch,78,44,50,7.1,0.82,38,Alluvial
Bhavnagar,55,30,42,7.4,0.60,22,Black Cotton
Botad,57,31,41,7.3,0.61,22,Black Cotton
Chhota Udaipur,62,35,40,6.7,0.68,30,Red Laterite
Dahod,65,36,42,6.6,0.70,30,Red Mixed
Dang,70,40,45,6.4,0.85,42,Forest Red
Devbhoomi Dwarka,48,26,33,7.6,0.50,20,Coastal Sandy
Gandhinagar,68,38,43,6.9,0.72,26,Sandy Loam
Gir Somnath,53,28,38,7.3,0.56,22,Black Coastal
Jamnagar,50,27,36,7.5,0.52,20,Sandy Coastal
Junagadh,62,34,44,7.1,0.70,28,Black Mixed
Kheda,88,50,58,6.9,0.92,45,Alluvial
Kutch,35,18,28,7.8,0.38,12,Arid Sandy
Mahisagar,66,37,43,6.8,0.70,30,Red Mixed
Mehsana,55,30,38,7.4,0.58,22,Sandy Loam
Morbi,52,28,36,7.5,0.54,20,Sandy
Narmada,70,40,46,6.8,0.78,38,Forest Alluvial
Navsari,82,46,54,6.6,0.88,44,Coastal Alluvial
Panchmahal,64,36,42,6.7,0.68,30,Red Laterite
Patan,48,26,34,7.6,0.50,18,Sandy
Porbandar,50,27,36,7.4,0.54,22,Coastal Sandy
Rajkot,60,33,42,7.2,0.64,24,Black Cotton
Sabarkantha,62,34,40,7.0,0.66,26,Mixed Red
Surat,84,48,55,6.7,0.90,44,Coastal Alluvial
Surendranagar,52,28,36,7.5,0.55,20,Black Sandy
Tapi,72,40,48,6.6,0.80,38,Forest Alluvial
Vadodara,80,46,52,7.0,0.86,40,Alluvial
Valsad,80,44,52,6.5,0.88,44,Coastal Laterite
